Trans_Code,Account,Trans_Date,Reference,Description,Amount_Excl,Tax_Type,Amount_Incl,Exchange_Rate,Foreign_Amount_Excl,Foreign_Amount_Incl,Base_VAT,Foreign_VAT,Sun_Date,ROUTES ANAL,CUST_CODE,Travel_Date,File Type
SI,D3A080,01/07/2023,505870,PNR:564520 VC:BD752,110534.15,7,110534.15,140.45,787,787,0.0,0.0,01072023,1508,D3A080,,H
SI,410010,01/07/2023,505870,PNR:564520 VC:BD752,110534.15,7,110534.15,140.45,787,787,0.0,0.0,01072023,1508,D3A080,,D
SI,D3CS01,01/07/2023,505871,PNR:5E0C1A,593682.15,7,593682.15,140.45,4227,4227,0.0,0.0,01072023,1513,D3CS01,,H
SI,410010,01/07/2023,505871,PNR:5E0C1A,593682.15,7,593682.15,140.45,4227,4227,0.0,0.0,01072023,1513,D3CS01,,D
SI,D3A001,01/07/2023,505872,PNR:501F0B VC:33857/1,110421.79,7,110421.79,140.45,786.2,786.2,0.0,0.0,01072023,1529,D3A001,,H
SI,,01/07/2023,505872,PNR:501F0B VC:33857/1,110421.79,7,110421.79,140.45,786.2,786.2,0.0,0.0,01072023,1529,D3A001,,D
SC,D3A001,01/07/2023,505873,PNR:501F0B VC:33857/1,110421.79,7,110421.79,140.45,786.2,786.2,0.0,0.0,01072023,1529,D3A001,,H
SC,,01/07/2023,505873,PNR:501F0B VC:33857/1,110421.79,7,110421.79,140.45,786.2,786.2,0.0,0.0,01072023,1529,D3A001,,D
SI,D3A001,01/07/2023,505874,PNR:501F0B VC:33857/1,110421.79,7,110421.79,140.45,786.2,786.2,0.0,0.0,01072023,1529,D3A001,,H
SI,,01/07/2023,505874,PNR:501F0B VC:33857/1,110421.79,7,110421.79,140.45,786.2,786.2,0.0,0.0,01072023,1529,D3A001,,D
SI,D3CS01,01/07/2023,505875,PNR:56587F,55477.75,7,55477.75,140.45,395,395,0.0,0.0,01072023,1501,D3CS01,,H
SI,,01/07/2023,505875,PNR:56587F,55477.75,7,55477.75,140.45,395,395,0.0,0.0,01072023,1501,D3CS01,,D
SI,D3A001,01/07/2023,505876,PNR:501EB1 VC:867,993796.11,7,993796.11,140.45,7075.8,7075.8,0.0,0.0,01072023,1529,D3A001,,H
SI,,01/07/2023,505876,PNR:501EB1 VC:867,993796.11,7,993796.11,140.45,7075.8,7075.8,0.0,0.0,01072023,1529,D3A001,,D
SI,D3K056,01/07/2023,505877,PNR:565880 VC:328,29417.25,7,29417.25,140.4499881,209.45,209.45,0.0,0.0,01072023,1501,D3K056,,H
SI,,01/07/2023,505877,PNR:565880 VC:328,29417.25,7,29417.25,140.4499881,209.45,209.45,0.0,0.0,01072023,1501,D3K056,,D
SI,D3O026,01/07/2023,505878,PNR:51389F,3511.25,7,3511.25,140.45,25,25,0.0,0.0,01072023,1501,D3O026,,H
SI,,01/07/2023,505878,PNR:51389F,3511.25,7,3511.25,140.45,25,25,0.0,0.0,01072023,1501,D3O026,,D
SI,D3CS01,01/07/2023,505879,PNR:565B75,110955.5,7,110955.5,140.45,790,790,0.0,0.0,01072023,1501,D3CS01,,H
SI,,01/07/2023,505879,PNR:565B75,110955.5,7,110955.5,140.45,790,790,0.0,0.0,01072023,1501,D3CS01,,D
SI,D3CS01,01/07/2023,505880,PNR:50246B,108567.85,7,108567.85,140.45,773,773,0.0,0.0,01072023,1501,D3CS01,,H
SI,,01/07/2023,505880,PNR:50246B,108567.85,7,108567.85,140.45,773,773,0.0,0.0,01072023,1501,D3CS01,,D
SI,D3CS01,01/07/2023,505881,PNR:59DD82,30941.14,7,30941.14,140.4500227,220.3,220.3,0.0,0.0,01072023,1501,D3CS01,,H
SI,,01/07/2023,505881,PNR:59DD82,30941.14,7,30941.14,140.4500227,220.3,220.3,0.0,0.0,01072023,1501,D3CS01,,D
SC,D3O026,01/07/2023,505882,PNR:51389F,3511.25,7,3511.25,140.45,25,25,0.0,0.0,01072023,1501,D3O026,,H
SC,,01/07/2023,505882,PNR:51389F,3511.25,7,3511.25,140.45,25,25,0.0,0.0,01072023,1501,D3O026,,D
SC,D3CS01,01/07/2023,505883,PNR:58A9CB VC:Email,377525.46,7,377525.46,138.45,2726.8,2726.8,0.0,0.0,01072023,1501,D3CS01,,H
SC,,01/07/2023,505883,PNR:58A9CB VC:Email,377525.46,7,377525.46,138.45,2726.8,2726.8,0.0,0.0,01072023,1501,D3CS01,,D
SI,D3O026,01/07/2023,505884,PNR:51389F,3511.25,7,3511.25,140.45,25,25,0.0,0.0,01072023,1501,D3O026,,H
SI,,01/07/2023,505884,PNR:51389F,3511.25,7,3511.25,140.45,25,25,0.0,0.0,01072023,1501,D3O026,,D
SI,D3CS01,01/07/2023,505885,PNR:58A9CB VC:Email,335106.68,7,335106.68,140.450001,2385.95,2385.95,0.0,0.0,01072023,1501,D3CS01,,H
SI,,01/07/2023,505885,PNR:58A9CB VC:Email,335106.68,7,335106.68,140.450001,2385.95,2385.95,0.0,0.0,01072023,1501,D3CS01,,D
SC,D3V003,01/07/2023,505886,PNR:537BEB VC:BBIS130951,256435.26,7,256435.26,140.1500011,1829.72,1829.72,0.0,0.0,01072023,1501,D3V003,,H
SC,,01/07/2023,505886,PNR:537BEB VC:BBIS130951,256435.26,7,256435.26,140.1500011,1829.72,1829.72,0.0,0.0,01072023,1501,D3V003,,D
SI,D3V003,01/07/2023,505887,PNR:537BEB VC:BBIS130951,256984.17,7,256984.17,140.4499978,1829.72,1829.72,0.0,0.0,01072023,1501,D3V003,,H
SI,,01/07/2023,505887,PNR:537BEB VC:BBIS130951,256984.17,7,256984.17,140.4499978,1829.72,1829.72,0.0,0.0,01072023,1501,D3V003,,D
SI,D3A050,01/07/2023,505888,PNR:5EADD5 VC:79837,67050.83,7,67050.83,140.45,477.4,477.4,0.0,0.0,01072023,1513,D3A050,,H
SI,410010,01/07/2023,505888,PNR:5EADD5 VC:79837,67050.83,7,67050.83,140.45,477.4,477.4,0.0,0.0,01072023,1513,D3A050,,D
SC,D3CS01,01/07/2023,505889,PNR:559C02,95540.26,7,95540.26,140.1500073,681.7,681.7,0.0,0.0,01072023,1501,D3CS01,,H
SC,,01/07/2023,505889,PNR:559C02,95540.26,7,95540.26,140.1500073,681.7,681.7,0.0,0.0,01072023,1501,D3CS01,,D
SI,D3CS01,01/07/2023,505890,PNR:56363A,39326,7,39326,140.45,280,280,0.0,0.0,01072023,1526,D3CS01,,H
SI,,01/07/2023,505890,PNR:56363A,39326,7,39326,140.45,280,280,0.0,0.0,01072023,1526,D3CS01,,D
SI,D3CS01,01/07/2023,505891,PNR:559C02,123834.77,7,123834.77,140.4500057,881.7,881.7,0.0,0.0,01072023,1501,D3CS01,,H
SI,,01/07/2023,505891,PNR:559C02,123834.77,7,123834.77,140.4500057,881.7,881.7,0.0,0.0,01072023,1501,D3CS01,,D
SI,D3CS01,01/07/2023,505892,PNR:5613AD,147086.26,7,147086.26,140.4499976,1047.25,1047.25,0.0,0.0,01072023,1501,D3CS01,,H
SI,,01/07/2023,505892,PNR:5613AD,147086.26,7,147086.26,140.4499976,1047.25,1047.25,0.0,0.0,01072023,1501,D3CS01,,D
SI,D3CS01,01/07/2023,505893,PNR:543562,88251.76,7,88251.76,140.450004,628.35,628.35,0.0,0.0,01072023,1501,D3CS01,,H
SI,,01/07/2023,505893,PNR:543562,88251.76,7,88251.76,140.450004,628.35,628.35,0.0,0.0,01072023,1501,D3CS01,,D
SC,D3CS01,01/07/2023,505894,PNR:543562,88251.76,7,88251.76,140.450004,628.35,628.35,0.0,0.0,01072023,1501,D3CS01,,H
SC,,01/07/2023,505894,PNR:543562,88251.76,7,88251.76,140.450004,628.35,628.35,0.0,0.0,01072023,1501,D3CS01,,D
SI,D3CS01,01/07/2023,505895,PNR:543562,88251.76,7,88251.76,140.450004,628.35,628.35,0.0,0.0,01072023,1501,D3CS01,,H
SI,,01/07/2023,505895,PNR:543562,88251.76,7,88251.76,140.450004,628.35,628.35,0.0,0.0,01072023,1501,D3CS01,,D
SI,D3O026,01/07/2023,505896,PNR:595F73 VC:11588244,95744.77,7,95744.77,140.4500073,681.7,681.7,0.0,0.0,01072023,1501,D3O026,,H
SI,,01/07/2023,505896,PNR:595F73 VC:11588244,95744.77,7,95744.77,140.4500073,681.7,681.7,0.0,0.0,01072023,1501,D3O026,,D
SI,D3O026,01/07/2023,505897,PNR:5664B8,3511.25,7,3511.25,140.45,25,25,0.0,0.0,01072023,1501,D3O026,,H
SI,,01/07/2023,505897,PNR:5664B8,3511.25,7,3511.25,140.45,25,25,0.0,0.0,01072023,1501,D3O026,,D
